"Title","Year","Directors"
"Teoneol",2017,"Kim Sung-Hoon"
"Polina, danser sa vie",2016,"Angelin Preljocaj, Valérie Müller"
"Diamond Island",2016,"Davy Chou"
"Voyage of Time: The IMAX Experience",2016,"Terrence Malick"
"Disturbia",2007,"D.J. Caruso"
"The Sting",1973,"George Roy Hill"
"Personal Shopper",2016,"Olivier Assayas"
"Chun gwong cha sit",1997,"Wong Kar-Wai"
"Oasiseu",2002,"Lee Chang-Dong"
"Samsara",2011,"Ron Fricke"
